user_id,engagement_duration,preferred_time,click_duration,event_date,timestamp
user1,44.14,evening,10,17-08-2024,46:36.1
user2,39.13,night,10,06-04-2024,55:36.1
user2,31.63,afternoon,5,03-04-2024,00:36.1
user3,39.41,night,15,17-01-2025,08:36.1
user3,27.61,night,2,09-06-2024,28:36.1
user3,40.95,afternoon,10,13-09-2024,25:36.1
user3,34.3,night,15,30-12-2024,39:36.1
user3,42.7,morning,15,09-06-2024,04:36.1
user4,36.99,night,5,17-09-2024,49:36.1
user4,37.57,afternoon,15,05-03-2025,01:36.1
user4,49.67,afternoon,5,06-11-2024,36:36.1
user5,44.61,evening,10,09-03-2025,55:36.1
user5,37.69,afternoon,2,30-10-2024,07:36.1
user6,41.84,night,2,29-11-2024,48:36.1
user6,31.24,night,15,07-06-2024,32:36.1
user6,36.45,afternoon,8,17-01-2025,36:36.1
user6,33.64,night,2,18-03-2025,57:36.1
user6,39.37,morning,15,08-09-2024,32:36.1
user7,32.68,morning,2,24-05-2024,00:36.1
user7,29.09,morning,15,30-10-2024,51:36.1
user7,42.73,afternoon,15,30-04-2024,13:36.1
user7,46.59,night,5,17-08-2024,47:36.1
user7,25.07,night,10,30-05-2024,31:36.1
user8,38.12,night,8,05-03-2025,30:36.1
user9,38.36,night,5,12-06-2024,26:36.1
user9,34.17,afternoon,2,04-05-2024,43:36.1
user10,46.06,morning,2,09-06-2024,24:36.1
user10,31.07,night,10,26-03-2024,05:36.1
user10,33.24,afternoon,10,28-04-2024,00:36.1
user10,33.92,evening,10,16-11-2024,06:36.1
user10,41.15,afternoon,8,29-11-2024,59:36.1
user11,40.95,evening,2,09-01-2025,03:36.1
user12,30.73,morning,5,09-04-2024,58:36.1
user12,41.59,afternoon,10,02-02-2025,43:36.1
user12,41.9,morning,15,05-02-2025,47:36.1
user12,35,afternoon,8,30-10-2024,38:36.1
user13,33.54,evening,10,28-01-2025,35:36.1
user13,26.94,night,15,01-08-2024,51:36.1
user13,40.77,afternoon,15,29-03-2024,59:36.1
user13,40.56,afternoon,8,30-10-2024,14:36.1
user14,32.03,morning,15,01-12-2024,39:36.1
user14,32,evening,2,05-03-2025,06:36.1
user14,44.45,evening,15,19-08-2024,21:36.1
user14,40.66,evening,15,14-02-2025,49:36.1
user15,36.95,night,8,27-11-2024,15:36.1
user16,28.3,evening,5,28-04-2024,36:36.1
user16,42.71,morning,2,15-06-2024,30:36.1
user16,33.84,morning,8,16-09-2024,10:36.1
user17,41.99,morning,8,16-05-2024,19:36.1
user17,27.79,afternoon,5,14-05-2024,20:36.1
user18,35.16,afternoon,5,08-03-2025,20:36.1
user18,36.87,morning,5,28-04-2024,15:36.1
user18,46.29,afternoon,8,08-03-2025,08:36.1
user19,35.62,night,5,15-06-2024,20:36.1
user20,37.67,afternoon,5,01-11-2024,33:36.1
